NewQuestion,MC,,,
ID,QBL-35,,,
Title,,,,
QuestionText,According to the core guidelines&#44; should you prefer default arguments in a constructor or multiple versions of the constructor with different numbers of arguments? Why?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,0,You should prefer multiple versions of the constructor so that each version can be clearly commented indicating it purpose,HTML,
Option,0,You should prefer default arguments because it's more efficient to have fewer versions of a function,HTML,
Option,100,You should prefer default arguments to ensure consistency and help readers expect consistency,HTML,
Option,0,You should prefer multiple versions of the constructor so that each version can be optimized to use only those values it needs to,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-12,,,
Title,,,,
QuestionText,Why should a class destructor sometimes be marked <code>virtual</code>?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,100,If the class is a base class&#44; a virtual destructor ensures that the derived destructor is called when <code>delete</code> is called on a base class pointer,HTML,
Option,0,If you have any other virtual functions in a class&#44; it is an error not to also make the destructor virtual,HTML,
Option,0,You never need to - the compiler will do this automatically if you create any derived class,HTML,
Option,0,All derived classes should have their destructor marked <code>virtual</code> to indicate that they are derived classes,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-34,,,
Title,,,,
QuestionText,According to the core guidelines&#44; where should you set the default values for member variables in a class?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,0,You should never use default values for variables,HTML,
Option,0,In the initializer list for every constructor definition,HTML,
Option,100,In the class definition where you declare each variable,HTML,
Option,0,In the body of each constructor,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-17,,,
Title,,,,
QuestionText,Under which of these conditions is it good coding practice to use raw pointers in C++?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,0,Only when you are building custom smart pointers of your own,HTML,
Option,0,Any time you are pointing to raw text files,HTML,
Option,0,Whenever you write the constructor and destructor at the same time,HTML,
Option,100,In a function that uses the pointers&#44; but does not allocate&#44; free&#44; or store them in any way,HTML,
Option,0,It is never good coding practice to work with raw pointers in any way,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-10,,,
Title,,,,
QuestionText,What are &quot;structured bindings&quot; in C++?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,0,They allow you to bind specific values to function parameters&#44; resulting in a function that takes fewer arguments,HTML,
Option,0,They direct the linking phase of compilation&#44; specifying how various modules should be bound together,HTML,
Option,100,They simplify setting multiple variables at once&#44; such as in a for loop of when returning multiple values from a function,HTML,
Option,0,They allow you to build a new <code>struct</code> type at run time&#44; without needing to specify it at compile time,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-14,,,
Title,,,,
QuestionText,What order are a class' member variables initialized in?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,0,The order in which they are placed in the initializer list of a constructor,HTML,
Option,0,The same order as the associated parameters of the constructor,HTML,
Option,100,The order in which they are declared in the class,HTML,
Option,0,This is undefined; they may be initialized in any order,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-15,,,
Title,,,,
QuestionText,How should you handle &quot;magic numbers&quot; in the code&#44; such as 3.141592 for PI?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,0,You should never use magic numbers in code,HTML,
Option,100,Set it to a variable so that it can be optimized effectively; e.g.:<br>&nbsp;&nbsp;<code>constexpr&nbsp;double&nbsp;PI&nbsp;=&nbsp;3.141592;</code><br>&nbsp;&nbsp;<code>double&nbsp;area&nbsp;=&nbsp;PI&nbsp;*&nbsp;r&nbsp;*&nbsp;r;</code>,HTML,
Option,0,Have it returned by a function so that its definition is placed in a header file&#44; e.g.:<br>&nbsp;&nbsp;<code>double&nbsp;PI()&nbsp;{&nbsp;return&nbsp;3.141592;&nbsp;}&nbsp;&nbsp;//&nbsp;In&nbsp;a&nbsp;header&nbsp;file</code><br>&nbsp;&nbsp;<code>double&nbsp;area&nbsp;=&nbsp;PI()&nbsp;*&nbsp;r&nbsp;*&nbsp;r;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;//&nbsp;Later&#44;&nbsp;where&nbsp;you're&nbsp;using&nbsp;it</code>,HTML,
Option,0,Specify the value directly so that it can be optimized effectively; e.g.:<br>&nbsp;&nbsp;<code>double&nbsp;area&nbsp;=&nbsp;3.141592&nbsp;*&nbsp;r&nbsp;*&nbsp;r;</code>,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-25,,,
Title,,,,
QuestionText,Why should you use smart pointers rather than directly calling <code>new</code> and <code>delete</code> yourself?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,0,Because smart pointers are always faster,HTML,
Option,0,To simplify debugging,HTML,
Option,0,Because new and delete are deprecated,HTML,
Option,100,To automatically manage object lifetimes and make memory leaks less likely,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-1,,,
Title,,,,
QuestionText,Which of the following is a valid reason that you should avoid <code>using&nbsp;namespace&nbsp;std;</code> in your code?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,100,You will be polluting your current namespace with every identifier in the standard library,HTML,
Option,0,It will drastically limit the identifiers that you are allowed to use in your own code,HTML,
Option,0,Bringing in the entire standard library into your code would be considered a copyright violation ,HTML,
Option,0,The <code>using</code> command is deprecated.  You should always use <code>typedef</code> instead.,HTML,
Option,0,It will drastically slow compilation times since substantial additional code will need to be compiled,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-42,,,
Title,,,,
QuestionText,According to the core guidelines&#44; what should you do if you have multiple return values?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,0,Always pass the output values by reference as function parameters,HTML,
Option,0,Use multiple out-pointers as function arguments for each return value,HTML,
Option,100,Return a <code>struct</code> or a <code>tuple</code> that bundles the values together,HTML,
Option,0,Use a static class member to temporarily hold the return values,HTML,
Option,0,Create separate functions for each return value,HTML,
Option,0,Use global variables to store and retrieve the return values,HTML,
Option,0,Return a vector or list&#44; even if the values are of different types,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-23,,,
Title,,,,
QuestionText,Which of the following is NOT an advantage of using <code>std::unique_ptr</code> over <code>std::shared_ptr</code>?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,0,Lower memory overhead,HTML,
Option,100,Reference counting of object instances,HTML,
Option,0,Faster execution,HTML,
Option,0,Simplicity of single ownership,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-2,,,
Title,,,,
QuestionText,How should you decide whether to use <code>'<br>'</code> or <code>std::endl</code> for a newline when you are outputting to a stream?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,100,You should default to <code>'<br>'</code> unless it is the final newline for your current output and want to flush the result,HTML,
Option,0,You should always use <code>std::endl</code> because it can detect the current context and always behaves correctly,HTML,
Option,0,It is only a matter of style; pick the one that you like better and use it consistently,HTML,
Option,0,You should always use <code>'<br>'</code> because <code>std::endl</code> has been deprecated,HTML,
Option,0,You should default to <code>std::endl</code> unless you are generating an ASCII string&#44; which needs a newline character,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-39,,,
Title,,,,
QuestionText,According to the C++ Core Guidelines&#44; what is a good technique to reduce the number of parameters to a function?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
Option,0,Split the function into multiple smaller functions&#44; each taking a subset of the original parameters,HTML,
Option,0,Utilize global variables to store commonly used parameters,HTML,
Option,0,Use <code>std::pair</code> to arbitrarily group pairs of neighboring parameters,HTML,
Option,100,Use abstractions to combine inputs&#44; such as a <code>Point</code> class rather than separate x's and y's,HTML,
Option,0,Rely on default argument values for most of the function parameters,HTML,
Option,0,Build a class around the function where you can pass in the arguments sequentially,HTML,
Hint,,,,
Feedback,,HTML,,
,,,,
,,,,
NewQuestion,MC,,,
ID,QBL-13,,,
Title,,,,
QuestionText,When should you use the <code>override</code> keyword?,HTML,,
Points,1,,,
Difficulty,1,,,
Image,,,,
